1000	1050	0
1050	1100	0
1100	1150	0
1150	1200	0
1200	1250	0
1250	1300	0
1300	1350	0
1350	1400	1
1400	1450	0
1450	1500	4
1500	1550	3
1550	1600	12
1600	1650	16
1650	1700	26
1700	1750	38
1750	1800	59
1800	1850	61
1850	1900	82
1900	1950	94
1950	2000	105
2000	2050	106
2050	2100	77
2100	2150	82
2150	2200	65
2200	2250	61
2250	2300	38
2300	2350	22
2350	2400	19
2400	2450	15
2450	2500	8
2500	2550	1
2550	2600	2
2600	2650	2
2650	2700	1
2700	2750	0
2750	2800	0
2800	2850	0
2850	2900	0
2900	2950	0
2950	3000	0
